WARD_NUM,NAME,COMM_CODE,SECTOR,CLASS,CLASS_CODE,SRG,COMM_STRUCTURE
2,02F,02F,NORTHWEST,Residual Sub Area,4,N/A,
3,LEWISBURG,LEB,NORTH,Residential,1,DEVELOPING,BUILDING OUT
9,VALLEYFIELD,VAF,EAST,Industrial,2,N/A,EMPLOYMENT
11,CHINOOK PARK,CHK,SOUTH,Residential,1,BUILT-OUT,1950s
9,OGDEN,OGD,SOUTHEAST,Residential,1,BUILT-OUT,1950s
13,ALPINE PARK,ALP,SOUTH,Residential,1,DEVELOPING,BUILDING OUT
1,01B,01B,NORTHWEST,Residual Sub Area,4,N/A,UNDEVELOPED
11,EAGLE RIDGE,EAG,SOUTH,Residential,1,BUILT-OUT,1960s/1970s
3,AURORA BUSINESS PARK,ABP,NORTH,Industrial,2,N/A,EMPLOYMENT
1,ROYAL OAK,ROY,NORTHWEST,Residential,1,BUILT-OUT,
11,BAYVIEW,BYV,SOUTH,Residential,1,BUILT-OUT,1960s/1970s
14,LEGACY,LEG,SOUTH,Residential,1,DEVELOPING,BUILDING OUT
12,12L,12L,SOUTHEAST,Residual Sub Area,4,N/A,UNDEVELOPED
10,10D,10D,NORTHEAST,Residual Sub Area,4,N/A,UNDEVELOPED
9,BELVEDERE,BVD,EAST,Residential,1,DEVELOPING,BUILDING OUT
3,PANORAMA HILLS,PAN,NORTH,Residential,1,DEVELOPING,BUILDING OUT
2,AMBLETON,ABT,NORTH,Residential,1,DEVELOPING,BUILDING OUT
11,BEL-AIRE,BEL,CENTRE,Residential,1,BUILT-OUT,1960s/1970s
1,01C,01C,WEST,Residual Sub Area,4,N/A,UNDEVELOPED
13,EVERGREEN,EVE,SOUTH,Residential,1,DEVELOPING,BUILDING OUT
6,SPRINGBANK HILL,SPH,WEST,Residential,1,DEVELOPING,BUILDING OUT
3,COUNTRY HILLS VILLAGE,CHV,NORTH,Residential,1,BUILT-OUT,2000s
1,01H,01H,WEST,Residual Sub Area,4,N/A,UNDEVELOPED
9,TWINHILLS,THS,EAST,Residential,1,DEVELOPING,BUILDING OUT
13,SHAWNESSY,SHN,SOUTH,Residential,1,BUILT-OUT,1980s/1990s
10,FRANKLIN,FRA,NORTHEAST,Industrial,2,N/A,EMPLOYMENT
4,SKYLINE WEST,SKW,NORTH,Industrial,2,N/A,EMPLOYMENT
13,13A,13A,SOUTH,Residual Sub Area,4,N/A,UNDEVELOPED
4,NORTH HAVEN UPPER,NHU,NORTH,Residential,1,BUILT-OUT,1960s/1970s
6,COACH HILL,COA,WEST,Residential,1,BUILT-OUT,1980s/1990s
13,13I,13I,SOUTH,Residual Sub Area,4,N/A,UNDEVELOPED
8,CLIFF BUNGALOW,CLI,CENTRE,Residential,1,BUILT-OUT,INNER CITY
13,13G,13G,SOUTH,Residual Sub Area,4,N/A,UNDEVELOPED
11,PUMP HILL,PUM,SOUTH,Residential,1,BUILT-OUT,1960s/1970s
12,NEW BRIGHTON,NEB,SOUTHEAST,Residential,1,DEVELOPING,BUILDING OUT
7,WEST HILLHURST,WHL,CENTRE,Residential,1,BUILT-OUT,INNER CITY
14,DEER RIDGE,DRG,SOUTH,Residential,1,BUILT-OUT,1980s/1990s
6,MEDICINE HILL,MDH,WEST,Residential,1,BUILT-OUT,2000s
6,PATTERSON,PAT,WEST,Residential,1,BUILT-OUT,1980s/1990s
11,HAYSBORO,HAY,SOUTH,Residential,1,BUILT-OUT,1950s
11,WINDSOR PARK,WND,CENTRE,Residential,1,BUILT-OUT,1950s
11,MEADOWLARK PARK,MEA,CENTRE,Residential,1,BUILT-OUT,1950s
7,CHINATOWN,CHN,CENTRE,Residential,1,BUILT-OUT,CENTRE CITY
6,GLENDALE,GDL,WEST,Residential,1,BUILT-OUT,1950s
11,KINGSLAND,KIN,SOUTH,Residential,1,BUILT-OUT,1950s
1,SILVER SPRINGS,SIL,NORTHWEST,Residential,1,BUILT-OUT,1960s/1970s
11,BRAESIDE,BRA,SOUTH,Residential,1,BUILT-OUT,1960s/1970s
9,MANCHESTER,MAN,CENTRE,Residential,1,BUILT-OUT,EMPLOYMENT
13,13E,13E,SOUTH,Residual Sub Area,4,N/A,UNDEVELOPED
6,DISCOVERY RIDGE,DIS,WEST,Residential,1,BUILT-OUT,2000s
7,HOUNSFIELD HEIGHTS/BRIAR HILL,HOU,CENTRE,Residential,1,BUILT-OUT,1950s
6,GLAMORGAN,GLA,WEST,Residential,1,BUILT-OUT,1950s
